Nome;Descrição;Categoria;Colaborador;Localização;Status;Empresa;Valor (€);Marca;Modelo;Número de Série;Data de Compra;Data de Garantia;Data de Criação;Última Atualização
FanGoFast Extractor de Aire;FanGoFast Extractor de Aire 100 mm con Controlador Ajustable, 230V En Línea Ventilador Extractor de Conducto con enchufe IEC para Baño, Booster, tienda de cultivo, Garage, Cucina;Equipamentos;;;Ativo;ProStoral;€ 57.89;FanGoFast;;PS0072202510;12/02/2025;;16/10/2025;16/10/2025
FanGoFast Extractor de Aire;FanGoFast Extractor de Aire 100 mm con Controlador Ajustable, 230V En Línea Ventilador Extractor de Conducto con enchufe IEC para Baño, Booster, tienda de cultivo, Garage, Cucina;Equipamentos;;;Ativo;ProStoral;€ 57.89;FanGoFast;;PS0073202510;12/02/2025;;16/10/2025;16/10/2025
Aygrochy 200mm Ventilador de;Aygrochy 200mm Ventilador de extracción ajustable, Ventilador Extractor de Aire con controlador de velocidad variable para Baño, Sótano, Garaje, Cocina, Tente de Culture Hydroponique;Equipamentos;;;Ativo;ProStoral;€ 108.32;Aygrochy;;PS0074202510;12/02/2025;;16/10/2025;16/10/2025
"Tech FHD Google 32"" (80";"Smart Tech 32FG01V, FHD Google TV, 32"" (80 cm)";Equipamentos;;;Ativo;ProStoral;€ 163.70;Smart Tech;;PS0075202510;10/02/2025;;16/10/2025;16/10/2025
Synology DS224+ 2 Dekstop;Synology DiskStation DS224+ 2 Bay Dekstop NAS;Equipamentos;;;Ativo;ProStoral;€ 304.96;Synology;;PS0076202510;04/02/2025;;16/10/2025;16/10/2025
Ubiquiti - UniFi 16 Puertos;Ubiquiti - Conmutador UniFi (USW-Lite-16-PoE, 16 Puertos Gigabit Ethernet, 8 Puertos PoE+, Montaje en Pared);Equipamentos;;;Ativo;ProStoral;€ 210.05;Ubiquiti;;PS0077202510;03/02/2025;;16/10/2025;16/10/2025
LG 29WQ500-B - Monitor;"LG 29WQ500-B - Monitor Ultrawide, Panel IPS, 29"", (2560x1080), 21:9, 100 Hz, 5ms, Clasificación E, HDR10 +, Tecnología AMD FreeSync, Black Stabilizer, Gris";Equipamentos;;;Ativo;ProStoral;€ 123.96;LG;;PS0078202510;30/01/2025;;16/10/2025;16/10/2025
Hoover H-FREE 100 ESPECIAL;Hoover H-FREE 100 ESPECIAL MASCOTAS HF122GPT Aspiradora Escoba sin Cable, sin Bolsa, 3 en 1: Escoba, de Mano y Vertical, Cepillo Mascotas y Tapicerías, Autonomía 40min, Posición Parking, 6500Pa;Equipamentos;;;Ativo;ProStoral;€ 90.08;Hoover;;PS0079202510;30/01/2025;;16/10/2025;16/10/2025
Amazon Basics - Cable;Amazon Basics - Cable adaptador DisplayPort a HDMI (1.8 m), Paquete de 10, Negro;Equipamentos;;;Ativo;ProStoral;€ 62.52;Amazon Basics;;PS0080202510;21/01/2025;;16/10/2025;16/10/2025
UBIQUITI UNIFI Flex Mini 5;Switch UBIQUITI USW-Flex-Mini UNIFI Switch Flex Mini 5 Puertos Pack 3 UND;Equipamentos;;;Ativo;ProStoral;€ 89.37;Ubiquiti;;PS0081202510;11/12/2024;;16/10/2025;16/10/2025
Rcynview 2 Silla de;Rcynview 2 Silla de Oficina Sin Reposabrazos con Soporte Lumbar, Taburete Ruedas Silla Ergonomica Escritorio Taburetes Cocina Giratorio Ajustable, Silla Tocador Manicura para Estudio Oficina, Negro;Equipamentos;;;Ativo;ProStoral;€ 76.00;Rcynview;;PS0082202510;08/12/2024;;16/10/2025;16/10/2025
Apple iPhone 16 Pro;"Apple iPhone 16 Pro MAX de 1 TB: Smartphone 5G con Control de Cámara, grabación en 4K a 120 f/s con Dolby Vision y un Gran Salto en autonomía. Compatible con los AirPods; Titanio Color Desierto";Equipamentos;;;Ativo;ProStoral;€ 1619.01;Apple;;PS0083202510;08/12/2024;;16/10/2025;16/10/2025
Apple iPhone 16 Pro;"Apple iPhone 16 Pro MAX de 1 TB: Smartphone 5G con Control de Cámara, grabación en 4K a 120 f/s con Dolby Vision y un Gran Salto en autonomía. Compatible con los AirPods; Titanio Color Desierto";Equipamentos;;;Ativo;ProStoral;€ 1619.01;Apple;;PS0084202510;08/12/2024;;16/10/2025;16/10/2025
